now,event,power,voltage,current,resistance,temperature,steady-state-count,filtered-delta
0.000,preprocess,0.00,0.00,0.00,0.000,0.0,0,0.000000
0.000,timerEvent,5.91,2.94,2.01,1.463,32.3,0,0.000000
1.349,timerEvent,10.46,3.83,2.73,1.403,22.2,0,0.000000
2.702,timerEvent,9.85,3.73,2.64,1.413,23.9,0,-10.134086
5.001,timerEvent,9.91,3.74,2.65,1.411,23.6,0,-8.951962
7.502,timerEvent,9.87,3.74,2.64,1.417,24.5,0,-8.083189
10.002,timerEvent,9.90,3.75,2.64,1.420,25.2,0,-7.184208
12.502,timerEvent,9.90,3.75,2.64,1.420,25.2,0,-6.401549
15.002,timerEvent,9.86,3.75,2.63,1.426,26.1,0,-5.761394
17.503,timerEvent,9.89,3.76,2.63,1.430,26.7,0,-5.093659
20.002,timerEvent,9.89,3.76,2.63,1.430,26.7,0,-4.519810
22.501,timerEvent,9.85,3.76,2.62,1.435,27.7,0,-4.067829
25.002,timerEvent,9.85,3.76,2.62,1.435,27.7,0,-3.568505
27.502,timerEvent,9.81,3.76,2.61,1.441,28.6,0,-3.211655
30.002,timerEvent,9.88,3.77,2.62,1.439,28.3,0,-2.797240
32.502,timerEvent,9.87,3.78,2.61,1.448,29.9,0,-2.546036
35.002,timerEvent,9.93,3.79,2.62,1.447,29.6,0,-2.132958
37.502,timerEvent,9.93,3.79,2.62,1.447,29.6,0,-1.948678
40.002,timerEvent,9.93,3.79,2.62,1.447,29.6,0,-1.753810
42.502,timerEvent,9.93,3.79,2.62,1.447,29.6,0,-1.578429
45.002,timerEvent,9.89,3.79,2.61,1.452,30.6,0,-1.420586
47.502,timerEvent,9.96,3.80,2.62,1.450,30.3,0,-1.184534
50.002,timerEvent,9.85,3.79,2.60,1.458,31.5,0,-1.095345
52.502,timerEvent,9.92,3.80,2.61,1.456,31.2,0,-0.861829
55.002,timerEvent,9.88,3.80,2.60,1.462,32.1,0,-0.805386
57.502,timerEvent,9.88,3.80,2.60,1.462,32.1,0,-0.629881
60.002,timerEvent,9.88,3.80,2.60,1.462,32.1,0,-0.566893
62.502,timerEvent,9.88,3.80,2.60,1.462,32.1,0,-0.510203
65.002,timerEvent,9.84,3.80,2.59,1.467,33.1,0,-0.459183
67.502,timerEvent,9.91,3.81,2.60,1.465,32.8,0,-0.317565
70.002,timerEvent,9.84,3.80,2.59,1.467,33.1,0,-0.316281
72.502,timerEvent,9.93,3.82,2.60,1.469,33.5,0,-0.254180
75.002,timerEvent,9.89,3.82,2.59,1.475,34.4,0,-0.194008
77.501,timerEvent,9.96,3.83,2.60,1.473,34.1,0,-0.078403
80.002,timerEvent,9.87,3.81,2.59,1.471,33.8,0,-0.101539
82.502,timerEvent,9.89,3.82,2.59,1.475,34.4,0,-0.125888
85.002,timerEvent,9.96,3.83,2.60,1.473,34.1,0,-0.047820
87.501,timerEvent,9.86,3.82,2.58,1.481,35.4,0,-0.074015
